代號,名稱,外資買賣超,投信買賣超,三大法人買賣超
7712,博盛半導體,13000,0,12993
7713,威力德生醫,-2000,0,-2000
7714,創泓科技,12000,0,12005
7715,裕山,2000,0,1000
7717,萊德光電-KY,95700,100000,193867
7718,友鋮,4000,0,4000
7723,築間,-4000,0,-4000
7728,光焱科技,14096,0,17876
7734,印能科技,2000,0,632
7738,東聯互動,36000,0,36000
7744,崴寶,-6000,0,-5001
7751,竑騰,41120,198000,232227
7753,星亞,1000,0,1000
7770,君曜,0,0,-2000
7777,能率亞洲,70000,0,72124
7782,光速火箭,0,0,0
7792,安葆,10000,0,20891
7805,威聯通,26000,0,26822
7810,捷創科技,-7000,0,-7567
7811,民盛,1000,0,-4000
8024,佑華,1,0,1
8027,鈦昇,-676650,0,-652395
8032,光菱,999,0,999
8034,榮群,683000,0,673901
8038,長園科,-2001,0,-2303
8040,九暘,49000,0,48980
8042,金山電,350999,0,350314
8043,蜜望實,267001,0,269214
8044,網家,170001,0,170001
8047,星雲,1000,0,1000
8048,德勝,25004,0,25711
8049,晶采,6000,0,6000
8050,廣積,90000,0,89941
8054,安國,535000,-12000,543402
8059,凱碩,81000,0,81000
8064,東捷,2006000,0,2174632
8066,來思達,-1000,0,-1000
8068,全達,117000,0,117000
8069,元太,846682,30720,944344
8071,能率網通,79000,0,79463
8074,鉅橡,224000,0,265223
8076,伍豐,41001,0,42725
8080,泰霖,2000,0,2000
8083,瑞穎,4000,0,4000
8084,巨虹,4000,0,4038
8085,福華,-65999,0,-66000
8086,宏捷科,231555,0,694071
8087,麗升能源,-10000,0,-10000
8088,品安,335001,0,334927
8089,康全電訊,59000,0,58483
8091,翔名,-364000,0,-375418
8092,建暐,-16000,0,-16000
8093,保銳,0,0,84
8096,擎亞,547738,0,719309
8097,常珵,-19000,0,-18000
8099,大世科,-26998,0,-27661
8107,大億金茂,-998,0,-1097
8109,博大,-22000,0,-21627
8111,立碁,-126000,0,-140807
8121,越峰,-14000,0,-13988
8147,正淩,8000,0,20425
8155,博智,-309000,0,-357045
8171,天宇,45000,0,45202
8176,智捷,-1000,0,-1000
8182,加高,43000,0,43000
8183,精星,45000,0,48359
8227,巨有科技,148000,0,149999
8234,新漢,177000,0,177535
8240,華宏,35001,0,35161
8255,朋程,-73800,0,-72802
8272,全景軟體,-2000,0,-2000
8277,商丞,42000,0,41811
8279,生展,-3000,0,-3000
8284,三竹,-1000,0,-1000
8289,泰藝,226500,0,226500
8299,群聯,-760223,-97860,-790239
8349,恒耀,-53000,0,-53000
8354,冠好,-1000,0,-1000
8358,金居,3288286,723000,4776039
8383,千附,287000,0,290353
8390,金益鼎,239000,0,246148
8401,白紗科,4000,0,4000
8403,盛弘,3008,0,3008
8409,商之器,0,0,-6
8410,森田,-1000,0,0
8415,大國鋼,-73000,2000,-91578
8421,旭源,-4000,0,-4000
8423,保綠-KY,4010,0,4010
8424,惠普,2000,0,1985
8426,紅木-KY,-2000,0,-2000
8431,匯鑽科,186000,0,173323
8432,東生華,0,0,0
8433,弘帆,-13000,0,-13000
8435,鉅邁,-999,0,-999
8436,大江,-108000,-1037,-107327
8437,大地-KY,4003,0,4003
8440,綠電,19000,0,18207
8444,綠河-KY,-8000,0,-8000
8446,華研,-96000,0,-96048
8450,霹靂,3010,0,3010
8472,夠麻吉,-4000,0,-4000
8489,三貝德,-10999,0,11999
8905,裕國,3001,0,3001
8906,花王,-1000,0,-1000
8908,欣雄,-45999,0,-45999
8916,光隆,2999,0,2999
8917,欣泰,0,0,0
8923,時報,-45,0,-45
8924,大田,5002,0,4957
8927,北基,-107000,0,-107000
8928,鉅明,-4000,0,-4000
8929,富堡,6000,0,6000
8930,青鋼,3000,0,3000
8931,大汽電,-3000,0,-3000
8932,智通*,-99000,0,-95154
8933,愛地雅,34000,0,33597
8935,邦泰,-53000,0,-53088
8936,國統,-650000,0,-638896
8938,明安,-113000,0,-112461
8941,關中,1000,0,1000
8942,森鉅,-219000,0,-220000
9949,琉園,-8000,0,-8000
9950,萬國通,2000,0,2000
9951,皇田,4000,0,3888
9960,邁達康,-8000,0,-8000
9962,有益,0,0,0
